exponent: 7468, value: 2
exponent: 7419, value: 3
exponent: 7355, value: 4
exponent: 7014, value: 1
exponent: 6897, value: 2
exponent: 6885, value: 1
exponent: 6848, value: 5
exponent: 6828, value: 5
exponent: 6660, value: 1
exponent: 6646, value: 7
exponent: 6586, value: 1
exponent: 6351, value: 6
exponent: 6331, value: 7
exponent: 6197, value: 6
exponent: 6090, value: 1
exponent: 5920, value: 7
exponent: 5737, value: 7
exponent: 5657, value: 6
exponent: 5573, value: 4
exponent: 5433, value: 5
exponent: 5269, value: 4
exponent: 5157, value: 7
exponent: 5151, value: 4
exponent: 5071, value: 1
exponent: 4979, value: 1
exponent: 4966, value: 1
exponent: 4853, value: 8
exponent: 4784, value: 3
exponent: 4529, value: 3
exponent: 4518, value: 1
exponent: 4483, value: 5
exponent: 4420, value: 8
exponent: 4392, value: 7
exponent: 4346, value: 2
exponent: 4283, value: 3
exponent: 4276, value: 2
exponent: 4197, value: 5
exponent: 4103, value: 1
exponent: 4027, value: 1
exponent: 3960, value: 3
exponent: 3808, value: 6
exponent: 3777, value: 2
exponent: 3454, value: 1
exponent: 3352, value: 6
exponent: 3286, value: 5
exponent: 3272, value: 3
exponent: 3088, value: 8
exponent: 2709, value: 8
exponent: 2607, value: 7
exponent: 2512, value: 7
exponent: 2370, value: 7
exponent: 2274, value: 6
exponent: 2265, value: 3
exponent: 2226, value: 1
exponent: 2169, value: 3
exponent: 2093, value: 4
exponent: 2014, value: 2
exponent: 1953, value: 2
exponent: 1758, value: 8
exponent: 1722, value: 4
exponent: 1623, value: 2
exponent: 1610, value: 7
exponent: 1542, value: 5
exponent: 1259, value: 6
exponent: 1249, value: 7
exponent: 1221, value: 4
exponent: 1206, value: 8
exponent: 1186, value: 8
exponent: 1183, value: 6
exponent: 1166, value: 4
exponent: 1160, value: 2
exponent: 1124, value: 5
exponent: 1113, value: 7
exponent: 1102, value: 1
exponent: 1069, value: 7
exponent: 1064, value: 7
exponent: 962, value: 7
exponent: 958, value: 7
exponent: 902, value: 3
exponent: 885, value: 6
exponent: 835, value: 3
exponent: 787, value: 4
exponent: 783, value: 7
exponent: 729, value: 8
exponent: 705, value: 3
exponent: 695, value: 6
exponent: 692, value: 5
exponent: 677, value: 8
exponent: 673, value: 2
exponent: 629, value: 8
exponent: 606, value: 8
exponent: 593, value: 2
exponent: 492, value: 1
exponent: 445, value: 7
exponent: 400, value: 4
exponent: 388, value: 3
exponent: 352, value: 2
exponent: 314, value: 7
exponent: 280, value: 2
exponent: 234, value: 7
exponent: 231, value: 4
exponent: 210, value: 4
exponent: 169, value: 3
exponent: 131, value: 6
exponent: 95, value: 7
exponent: 86, value: 7
exponent: 79, value: 3
exponent: 39, value: 4
exponent: 2, value: 3
exponent: 1, value: 6
exponent: 0, value: 4
