exponent: 8684, value: 4
exponent: 7974, value: 3
exponent: 7946, value: 7
exponent: 7915, value: 6
exponent: 7839, value: 2
exponent: 7468, value: 2
exponent: 7419, value: 3
exponent: 7355, value: 4
exponent: 7261, value: 7
exponent: 7014, value: 1
exponent: 6897, value: 2
exponent: 6885, value: 1
exponent: 6848, value: 5
exponent: 6828, value: 5
exponent: 6660, value: 1
exponent: 6646, value: 7
exponent: 6610, value: 8
exponent: 6591, value: 8
exponent: 6586, value: 1
exponent: 6532, value: 1
exponent: 6531, value: 3
exponent: 6387, value: 7
exponent: 6351, value: 6
exponent: 6331, value: 7
exponent: 6228, value: 7
exponent: 6197, value: 6
exponent: 6186, value: 2
exponent: 6180, value: 1
exponent: 6171, value: 4
exponent: 6161, value: 7
exponent: 6095, value: 3
exponent: 6090, value: 1
exponent: 5970, value: 5
exponent: 5934, value: 1
exponent: 5920, value: 7
exponent: 5859, value: 2
exponent: 5778, value: 6
exponent: 5737, value: 7
exponent: 5686, value: 7
exponent: 5657, value: 6
exponent: 5574, value: 3
exponent: 5573, value: 4
exponent: 5433, value: 5
exponent: 5313, value: 2
exponent: 5269, value: 4
exponent: 5211, value: 3
exponent: 5203, value: 6
exponent: 5201, value: 5
exponent: 5157, value: 7
exponent: 5151, value: 4
exponent: 5140, value: 8
exponent: 5071, value: 1
exponent: 4979, value: 1
exponent: 4966, value: 1
exponent: 4869, value: 7
exponent: 4853, value: 8
exponent: 4837, value: 3
exponent: 4821, value: 4
exponent: 4792, value: 7
exponent: 4784, value: 3
exponent: 4747, value: 4
exponent: 4740, value: 8
exponent: 4715, value: 4
exponent: 4705, value: 7
exponent: 4615, value: 4
exponent: 4542, value: 4
exponent: 4529, value: 3
exponent: 4522, value: 2
exponent: 4518, value: 1
exponent: 4483, value: 5
exponent: 4435, value: 4
exponent: 4420, value: 8
exponent: 4392, value: 7
exponent: 4362, value: 3
exponent: 4346, value: 2
exponent: 4303, value: 2
exponent: 4283, value: 3
exponent: 4276, value: 2
exponent: 4206, value: 8
exponent: 4197, value: 5
exponent: 4103, value: 1
exponent: 4060, value: 7
exponent: 4045, value: 6
exponent: 4039, value: 4
exponent: 4035, value: 8
exponent: 4027, value: 1
exponent: 3966, value: 5
exponent: 3960, value: 3
exponent: 3880, value: 6
exponent: 3808, value: 6
exponent: 3777, value: 2
exponent: 3705, value: 1
exponent: 3671, value: 5
exponent: 3469, value: 6
exponent: 3454, value: 1
exponent: 3355, value: 1
exponent: 3354, value: 6
exponent: 3352, value: 6
exponent: 3348, value: 5
exponent: 3286, value: 5
exponent: 3274, value: 7
exponent: 3272, value: 3
exponent: 3237, value: 6
exponent: 3193, value: 7
exponent: 3156, value: 7
exponent: 3088, value: 8
exponent: 2968, value: 7
exponent: 2960, value: 4
exponent: 2900, value: 2
exponent: 2772, value: 7
exponent: 2709, value: 8
exponent: 2704, value: 7
exponent: 2655, value: 3
exponent: 2607, value: 7
exponent: 2512, value: 7
exponent: 2432, value: 6
exponent: 2384, value: 5
exponent: 2370, value: 7
exponent: 2361, value: 1
exponent: 2320, value: 5
exponent: 2316, value: 6
exponent: 2274, value: 6
exponent: 2265, value: 3
exponent: 2258, value: 5
exponent: 2252, value: 8
exponent: 2249, value: 3
exponent: 2234, value: 6
exponent: 2226, value: 1
exponent: 2189, value: 2
exponent: 2169, value: 3
exponent: 2154, value: 2
exponent: 2147, value: 8
exponent: 2119, value: 4
exponent: 2117, value: 3
exponent: 2093, value: 4
exponent: 2078, value: 5
exponent: 2075, value: 1
exponent: 2066, value: 6
exponent: 2038, value: 1
exponent: 2019, value: 6
exponent: 2018, value: 2
exponent: 2014, value: 2
exponent: 1993, value: 1
exponent: 1960, value: 2
exponent: 1953, value: 2
exponent: 1951, value: 2
exponent: 1925, value: 7
exponent: 1892, value: 8
exponent: 1882, value: 8
exponent: 1868, value: 7
exponent: 1833, value: 3
exponent: 1817, value: 6
exponent: 1797, value: 7
exponent: 1758, value: 8
exponent: 1752, value: 3
exponent: 1740, value: 7
exponent: 1722, value: 4
exponent: 1704, value: 6
exponent: 1700, value: 6
exponent: 1698, value: 1
exponent: 1671, value: 4
exponent: 1641, value: 6
exponent: 1623, value: 2
exponent: 1620, value: 8
exponent: 1610, value: 7
exponent: 1570, value: 2
exponent: 1567, value: 8
exponent: 1543, value: 3
exponent: 1542, value: 5
exponent: 1519, value: 7
exponent: 1518, value: 3
exponent: 1513, value: 3
exponent: 1511, value: 5
exponent: 1492, value: 2
exponent: 1479, value: 7
exponent: 1478, value: 8
exponent: 1462, value: 1
exponent: 1458, value: 4
exponent: 1447, value: 6
exponent: 1438, value: 7
exponent: 1401, value: 3
exponent: 1396, value: 8
exponent: 1387, value: 3
exponent: 1338, value: 6
exponent: 1277, value: 3
exponent: 1259, value: 6
exponent: 1249, value: 7
exponent: 1221, value: 4
exponent: 1209, value: 7
exponent: 1206, value: 8
exponent: 1193, value: 4
exponent: 1192, value: 7
exponent: 1186, value: 8
exponent: 1183, value: 6
exponent: 1178, value: 1
exponent: 1166, value: 4
exponent: 1160, value: 2
exponent: 1159, value: 1
exponent: 1124, value: 5
exponent: 1118, value: 8
exponent: 1113, value: 7
exponent: 1102, value: 1
exponent: 1095, value: 2
exponent: 1069, value: 7
exponent: 1064, value: 7
exponent: 992, value: 3
exponent: 989, value: 1
exponent: 972, value: 8
exponent: 962, value: 7
exponent: 958, value: 7
exponent: 936, value: 2
exponent: 922, value: 2
exponent: 917, value: 5
exponent: 902, value: 3
exponent: 885, value: 6
exponent: 868, value: 1
exponent: 838, value: 1
exponent: 835, value: 3
exponent: 818, value: 4
exponent: 787, value: 4
exponent: 783, value: 7
exponent: 743, value: 1
exponent: 738, value: 5
exponent: 729, value: 8
exponent: 705, value: 3
exponent: 695, value: 6
exponent: 694, value: 4
exponent: 692, value: 5
exponent: 688, value: 6
exponent: 677, value: 8
exponent: 673, value: 2
exponent: 639, value: 2
exponent: 635, value: 1
exponent: 629, value: 8
exponent: 606, value: 8
exponent: 603, value: 3
exponent: 593, value: 2
exponent: 578, value: 8
exponent: 492, value: 1
exponent: 485, value: 3
exponent: 474, value: 7
exponent: 445, value: 7
exponent: 437, value: 7
exponent: 408, value: 5
exponent: 401, value: 1
exponent: 400, value: 4
exponent: 394, value: 2
exponent: 388, value: 3
exponent: 378, value: 1
exponent: 352, value: 2
exponent: 314, value: 7
exponent: 303, value: 2
exponent: 301, value: 6
exponent: 286, value: 6
exponent: 281, value: 4
exponent: 280, value: 2
exponent: 245, value: 7
exponent: 234, value: 7
exponent: 231, value: 4
exponent: 229, value: 6
exponent: 210, value: 4
exponent: 184, value: 6
exponent: 169, value: 4
exponent: 164, value: 4
exponent: 155, value: 2
exponent: 154, value: 8
exponent: 131, value: 6
exponent: 115, value: 7
exponent: 98, value: 7
exponent: 95, value: 7
exponent: 86, value: 7
exponent: 79, value: 3
exponent: 39, value: 4
exponent: 32, value: 4
exponent: 10, value: 2
exponent: 2, value: 3
exponent: 1, value: 9
exponent: 0, value: 4
