client_id	path	sentence	up_votes	down_votes	age	gender	accents	locale	segment
223775c6ee4dcbf1fbbab509dee348051b7c8850b2b0f378b1b0f063fb03b9ee053e6e27606d049bbef0b713899c75b026d97518f8f79399ae283458215fa894	common_voice_ro_34933381.mp3	Toate acestea sunt prevăzute şi finanţate de stat.	0	0				ro	
223775c6ee4dcbf1fbbab509dee348051b7c8850b2b0f378b1b0f063fb03b9ee053e6e27606d049bbef0b713899c75b026d97518f8f79399ae283458215fa894	common_voice_ro_34933382.mp3	Oamenii se simțeau legați de acel loc.	0	0				ro	
223775c6ee4dcbf1fbbab509dee348051b7c8850b2b0f378b1b0f063fb03b9ee053e6e27606d049bbef0b713899c75b026d97518f8f79399ae283458215fa894	common_voice_ro_34933383.mp3	Cel mai important aspect îl reprezintă dronele.	0	0				ro	
223775c6ee4dcbf1fbbab509dee348051b7c8850b2b0f378b1b0f063fb03b9ee053e6e27606d049bbef0b713899c75b026d97518f8f79399ae283458215fa894	common_voice_ro_34933385.mp3	Mai pot tolera oare contribuabilii acest joc?	0	0				ro	
223775c6ee4dcbf1fbbab509dee348051b7c8850b2b0f378b1b0f063fb03b9ee053e6e27606d049bbef0b713899c75b026d97518f8f79399ae283458215fa894	common_voice_ro_34933387.mp3	Ce se întâmplă dacă nu există alternative?	0	0				ro	
1944b19c27194adb2c0589d79dd19db5b1856973afe830f317ad99e5ea42363ad10b0739178f82f2f26fd92ae10ca89e05b4c006267fd44735680191ccf34ff2	common_voice_ro_34934984.mp3	Vă mulţumesc pentru programul pe care l-aţi prezentat.	0	0	twenties	male	Bucharest	ro	
1944b19c27194adb2c0589d79dd19db5b1856973afe830f317ad99e5ea42363ad10b0739178f82f2f26fd92ae10ca89e05b4c006267fd44735680191ccf34ff2	common_voice_ro_34934985.mp3	Nu putem accepta un buget redus.	0	0	twenties	male	Bucharest	ro	
1944b19c27194adb2c0589d79dd19db5b1856973afe830f317ad99e5ea42363ad10b0739178f82f2f26fd92ae10ca89e05b4c006267fd44735680191ccf34ff2	common_voice_ro_34934986.mp3	Chiar credeți că ați fi putut continua?	0	0	twenties	male	Bucharest	ro	
1944b19c27194adb2c0589d79dd19db5b1856973afe830f317ad99e5ea42363ad10b0739178f82f2f26fd92ae10ca89e05b4c006267fd44735680191ccf34ff2	common_voice_ro_34934988.mp3	Să fii responsabil înseamnă să îți continui drumul.	0	0	twenties	male	Bucharest	ro	
1944b19c27194adb2c0589d79dd19db5b1856973afe830f317ad99e5ea42363ad10b0739178f82f2f26fd92ae10ca89e05b4c006267fd44735680191ccf34ff2	common_voice_ro_34934999.mp3	Noi ne-am opus acestui lucru și l-am schimbat.	0	0	twenties	male	Bucharest	ro	
1944b19c27194adb2c0589d79dd19db5b1856973afe830f317ad99e5ea42363ad10b0739178f82f2f26fd92ae10ca89e05b4c006267fd44735680191ccf34ff2	common_voice_ro_34935000.mp3	Iti voi ingriji ranile.	0	0	twenties	male	Bucharest	ro	
1944b19c27194adb2c0589d79dd19db5b1856973afe830f317ad99e5ea42363ad10b0739178f82f2f26fd92ae10ca89e05b4c006267fd44735680191ccf34ff2	common_voice_ro_34935001.mp3	Cu toate acestea, o interdicţie nu este suficientă.	0	0	twenties	male	Bucharest	ro	
1944b19c27194adb2c0589d79dd19db5b1856973afe830f317ad99e5ea42363ad10b0739178f82f2f26fd92ae10ca89e05b4c006267fd44735680191ccf34ff2	common_voice_ro_34935002.mp3	Nu sunt capabili sa-mi raspunda.	0	0	twenties	male	Bucharest	ro	
1944b19c27194adb2c0589d79dd19db5b1856973afe830f317ad99e5ea42363ad10b0739178f82f2f26fd92ae10ca89e05b4c006267fd44735680191ccf34ff2	common_voice_ro_34935003.mp3	Doresc să clarific foarte bine acest aspect.	0	0	twenties	male	Bucharest	ro	
1944b19c27194adb2c0589d79dd19db5b1856973afe830f317ad99e5ea42363ad10b0739178f82f2f26fd92ae10ca89e05b4c006267fd44735680191ccf34ff2	common_voice_ro_34935009.mp3	Avem o responsabilitate comună în lume.	0	0	twenties	male	Bucharest	ro	
